timestamp,soil_moisture,air_temperature,air_humidity,VPD,hour_sin,hour_cos,soil_diff_1,soil_diff_3,growth_stage
2026-01-28 01:30:00,57.0,25.8,85.0,0.4982853792522506,0.25881904510252074,0.9659258262890683,0.0,0.0,0
2026-01-28 01:40:00,57.0,25.8,86.0,0.4650663539687674,0.25881904510252074,0.9659258262890683,0.0,0.0,0
2026-01-28 02:00:00,57.0,25.3,87.0,0.4192275867924442,0.49999999999999994,0.8660254037844387,0.0,0.0,0
2026-01-28 02:10:00,57.0,25.4,87.0,0.42172549096062806,0.49999999999999994,0.8660254037844387,0.0,0.0,0
2026-01-28 02:30:00,56.0,25.5,86.0,0.45686992670542814,0.49999999999999994,0.8660254037844387,-1.0,-1.0,0
2026-01-28 02:40:00,58.0,25.4,86.0,0.4541659133422149,0.49999999999999994,0.8660254037844387,2.0,1.0,0
2026-01-28 03:00:00,57.0,25.8,87.0,0.43184732868528375,0.7071067811865476,0.7071067811865476,-1.0,0.0,0
2026-01-28 03:10:00,57.0,25.6,89.0,0.3611048286754621,0.7071067811865476,0.7071067811865476,0.0,1.0,0
2026-01-28 03:30:00,57.0,25.5,88.0,0.39160279431893796,0.7071067811865476,0.7071067811865476,0.0,-1.0,0
2026-01-28 03:40:00,57.0,24.2,89.0,0.3321918400081594,0.7071067811865476,0.7071067811865476,0.0,0.0,0
2026-01-28 04:00:00,57.0,24.5,90.0,0.30746490508815905,0.8660254037844386,0.5000000000000001,0.0,0.0,0
2026-01-28 04:10:00,58.0,24.3,90.0,0.3038071715221542,0.8660254037844386,0.5000000000000001,1.0,1.0,0
2026-01-28 04:30:00,58.0,24.0,90.0,0.29839174771655586,0.8660254037844386,0.5000000000000001,0.0,1.0,0
2026-01-28 04:40:00,57.0,24.0,90.0,0.29839174771655586,0.8660254037844386,0.5000000000000001,-1.0,0.0,0
2026-01-28 05:00:00,57.0,24.0,90.0,0.29839174771655586,0.9659258262890683,0.25881904510252074,0.0,-1.0,0
2026-01-28 05:20:00,57.0,24.5,90.0,0.30746490508815905,0.9659258262890683,0.25881904510252074,0.0,-1.0,0
2026-01-28 05:30:00,57.0,24.7,90.0,0.3111609911116253,0.9659258262890683,0.25881904510252074,0.0,0.0,0
2026-01-28 05:50:00,57.0,24.7,89.0,0.3422770902227876,0.9659258262890683,0.25881904510252074,0.0,0.0,0
2026-01-28 06:00:00,57.0,24.1,90.0,0.3001874544343157,1.0,6.123233995736766e-17,0.0,0.0,0
2026-01-28 06:20:00,57.0,24.1,90.0,0.3001874544343157,1.0,6.123233995736766e-17,0.0,0.0,0
2026-01-28 06:30:00,57.0,24.3,90.0,0.3038071715221542,1.0,6.123233995736766e-17,0.0,0.0,0
